"tic","invest"
"ESPH",1094.76
"ESRT",1095.81
"ESSA",1091.22
"ESXB",1090.75
"ETE",1070.52
"ETHOF",1093.74
"ETOLF",1094.22
"ETV",1094.42
"EVEP",1094.46
"EVK",1095.07
"EVR",1106.86
"EVRI",1104.2
"EXLS",1075.83
"EXT",1091.52
"FABK",1090.98
"FANG",1042.52
"FANH",1098.23
"FAPPF",1094.12
"FB",1156.38
"FBIZ",1089.71
"FCD.UN",1093.79
"FCRE",1097.77
"FCS.UN",1093.2
"FDBL",1094.93
"FDVA",1091.67
"FELP",1095.6
"FET",1082.62
"FFHL",1088.53
"FFI.UN",1093.14
"FFMGF",1093.89
"FFNW",1084.56
"FIBCF",1094.98
"FIG",1097.71
"FIS",1063.09
"FISB",1092.35
"FIVE",1126.99
"FLY",1106.02
"FMXVF",1095
"FNF",1081.3
"FNV",1031.66
"FOLD",1116.87
"FOR",1093.68
"FPAY",1083.03
"FPLSF",1092.79
"FRBA",1092.54
"FRCGF",1091.84
"FSBC",1089.19
"FSLR",1144.08
"FSNN",1094.21
"FSP",1087.89
"FSWA",1094.97
"FTD",1074.21
"FTLF",1097.28
"FTMR",1094.26
"FTPLF",1098.32
"G",1081.83
"GAIN",1100.56
"GAPFF",1095.94
"GARS",1097.74
"GARWF",1094.31
"GASS",1092.7
"GAZ.UN",1094.84
"GBNK",1079.38
"GCR.",1094.92
"GDQMF",1094.13
"GFKRF",1094.98
"GFMH",1095
"GFN",1094.27
"GHDX",1097.35
"GIGL",1094.76
"GLGLF",1094.46
"GLLK",1096.8
"GLOG",1084.05
"GLP",1094.23
"GLRE",1094.39
"GLUSF",1093.47
"GLUU",1097.69
"GLVMF",1094.91
"GMED",1082.6
"GNGXF",1093.42
"GNK",1103.53
"GNTOF",1094.98
"GOGO",1116.41
"GOL",1123.19
"GORO",1109.84
"GRVY",1078.69
"GSAT",1095
"GSL",1096.1
"GSPE",1094.98
"GST",1092.49
"GTARF",1094.88
"GTE",1089.96
"GTS",1087.14
"GTT",1092.72
"GUID",1084.3
"GVMUF",1095.55
"GXRFF",1094.98
"HANNF",1095.21
"HBI",1111.31
"HBMD",1086.69
"HDIUF",1113.61
"HEES",1065.8
"HF",1076.99
"HFBL",1095.43
"HGHAF",1090.45
"HK",1128.23
"HLLOF",1095.4
"HLTH",1104.42
"HMTA",1090.85
"HNWEF",1094.97
"HNZGF",1082.91
"HOLI",1130.84
"HOMB",1157.62
"HPI.",1095.06
"HPIL",1101.9
"HQCL",1091.92
"HREEF",1095.04
"HTBI",1076.76
"HUN",1096.89
"HURN",1095.75
"HWCC",1103.23
"HY",1107.67
"HZNOF",1093.4
"IBIBF",1094.69
"IBKR",1101.53
"ICE",1474.01
"ICFI",1055.99
"ICOTF",1095.06
"IEGCF",1094.25
"IFCZF",1084.75
"IGC",1095.08
"IGXT",1096
"III",1096.72
"ILA.",1095.8
"IMMY",1098.14
"IMUC",1090.79
"INBK",1069.4
"INCAF",1094.15
"INFI",1110.19
"INFN",1103.87
"INFO",712.33
"INFU",1099.06
"INLX",1095.32
"INVA",1103.25
"INWK",1095.95
"IPGP",1117.05
"IPHS",1010.59
"IPIX",1095.31
"IRBT",1092.86
"IRGIF",1094.47
"ISBC",1094.86
"ISCO",1103.57
"ISVLF",1093.61
"ITMSF",1095.13
"JASO",1100.04
"JAZZ",994.13
"JGWEQ",1098.64
"JMP",1092.61
